EventCode,EventType,OpCode,RecordNumber,"_time","anonymized_ComputerName",source,sourcetype,user
4624,0,Info,142931658,"1471984588.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,142931673,"1471984589.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2490321339,"1471984595.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2490321337,"1471984595.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2490322948,"1471984663.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,142932768,"1471984666.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2490323673,"1471984688.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,241579480,"1471985050.000","anon_ComputerName_19","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2490333605,"1471985114.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2490340652,"1471985449.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2490345991,"1471985654.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2490350043,"1471985869.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4648,0,Info,241586962,"1471986348.000","anon_ComputerName_19","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2490360433,"1471986371.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,142952659,"1471986481.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2490362936,"1471986492.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2490397640,"1471988176.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2490399758,"1471988289.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2490411253,"1471988822.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,142979236,"1471988926.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2490426924,"1471989507.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2490427629,"1471989535.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,241604236,"1471989645.000","anon_ComputerName_19","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,241604925,"1471989748.000","anon_ComputerName_19","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,241604923,"1471989748.000","anon_ComputerName_19","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2490433055,"1471989786.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4768,0,Info,11915347,"1471990317.000","anon_ComputerName_2","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2490446686,"1471990479.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2490447776,"1471990519.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2490451880,"1471990711.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
