"_time",accountId,awsRegion,eventName,sourcetype,"src_ip",user,userAgent
"1516521979.000",315833130400,"eu-west-1",ListAssessmentRuns,"aws:cloudtrail","86.1.123.21",bob,"Boto3/1.4.4 Python/2.7.13 Linux/4.4.0-109-generic Botocore/1.5.95"
"1516522100.000",135072392400,"us-east-1",ListFindings,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1516522100.000",371572018000,"us-east-1",ListAssessmentRuns,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1516522160.000",434756342800,"us-east-1",ListFindings,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1516522160.000",218957290800,"us-east-1",ListAssessmentRuns,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1516522191.000",819970328800,"us-east-1",GetCallerIdentity,"aws:cloudtrail","86.1.123.21",bob,"Boto3/1.4.4 Python/2.7.13 Linux/4.4.0-109-generic Botocore/1.5.95"
"1516522220.000",652281960400,"us-east-1",ListAssessmentRuns,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1516522220.000",721192362400,"us-east-1",ListFindings,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1516522280.000",572174481200,"us-east-1",ListFindings,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1516522280.000",778286053600,"us-east-1",ListAssessmentRuns,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1516522340.000",50801510000,"us-east-1",ListFindings,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1516522340.000",543033198800,"us-east-1",ListAssessmentRuns,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
"1516522346.000",774560830800,"us-east-1",GetCallerIdentity,"aws:cloudtrail","52.151.186.244",alice,"Boto3/1.4.1 Python/2.7.13 Linux/3.2.0-67-virtual Botocore/1.4.93"
